pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
129300,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1520PE,PE,HDFCAMC23APR1520PE,,4244,,,,,,5,300,1367073000,-1,2,152000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,5,Physical,,0,1,12001,300,300,305,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129301,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1540CE,CE,HDFCAMC23APR1540CE,,4244,,,,,,5,300,1367073000,-1,2,154000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,27355,Physical,,0,1,12001,300,300,39765,14945,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129302,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1540PE,PE,HDFCAMC23APR1540PE,,4244,,,,,,5,300,1367073000,-1,2,154000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,5,Physical,,0,1,12001,300,1200,305,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129303,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1560CE,CE,HDFCAMC23APR1560CE,,4244,,,,,,5,300,1367073000,-1,2,156000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,25365,Physical,,0,1,12001,300,0,37765,12965,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129304,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1560PE,PE,HDFCAMC23APR1560PE,,4244,,,,,,5,300,1367073000,-1,2,156000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,5,Physical,,0,1,12001,300,11700,305,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129305,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1580CE,CE,HDFCAMC23APR1580CE,,4244,,,,,,5,300,1367073000,-1,2,158000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,23370,Physical,,0,1,12001,300,0,35745,10995,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129306,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1580PE,PE,HDFCAMC23APR1580PE,,4244,,,,,,5,300,1367073000,-1,2,158000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,10,Physical,,0,1,12001,300,2400,310,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129307,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1600CE,CE,HDFCAMC23APR1600CE,,4244,,,,,,5,300,1367073000,-1,2,160000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,21385,Physical,,0,1,12001,300,6600,33720,9050,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129308,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1600PE,PE,HDFCAMC23APR1600PE,,4244,,,,,,5,300,1367073000,-1,2,160000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,25,Physical,,0,1,12001,300,93900,325,5,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
129309,XX,nse_fo,OPTSTK,HDFCAMC,HDFCAMC23APR1620CE,CE,HDFCAMC23APR1620CE,,4244,,,,,,5,300,1367073000,-1,2,162000,NSE,OPTSTK,1367073000,1359244800,1367073000,1359244800,0,0,0,0,0,"            ",0,0,1366304175,,,,,,,,,,FO,,,,,,,1367020800,1367073000,,,,19410,Physical,,0,1,12001,300,1800,31665,7155,1,1,1,0,0,1,0,2.13319e+08,3.5,0,12001
